no,username,balance
1,py-c4ca423,6735.85
2,py-c81e728,813.30
3,py-eccbc87,351.54
4,py-a87ff67,6200.32
5,py-e4da3b7,7122.87
6,py-1679091,2430.91
7,py-8f14e45,5018.75
8,py-c9f0f89,2901.17
9,py-45c48cc,6762.66
10,py-d3d9446,9791.40
11,py-6512bd4,5861.80
12,py-c20ad4d,8696.29
13,py-c51ce41,5635.41
14,py-aab3238,8028.30
15,py-9bf31c7,7383.19
16,py-c74d97b,4538.98
17,py-70efdf2,4801.06
18,py-6f4922f,7958.75
19,py-1f0e3da,3997.12
20,py-98f1370,9256.96
21,py-3c59dc0,3409.69
22,py-b6d767d,3996.96
23,py-37693cf,385.90
24,py-1ff1de7,1913.39
25,py-8e296a0,9057.96
26,py-4e732ce,2668.83
27,py-02e74f1,2693.05
28,py-33e75ff,3040.08
29,py-6ea9ab1,9412.02
30,py-34173cb,4002.90
31,py-c16a532,7121.90
32,py-6364d3f,3278.56
33,py-182be0c,4293.60
34,py-e369853,5159.42
35,py-1c383cd,3831.68
36,py-19ca14e,1849.36
37,py-a5bfc9e,6020.97
38,py-a5771bc,3486.97
39,py-d67d8ab,7666.42
40,py-d645920,2998.28
41,py-3416a75,8179.72
42,py-a1d0c6e,2235.99
43,py-17e6216,785.88
44,py-f717716,4159.69
45,py-6c8349c,7957.23
46,py-d9d4f49,1309.16
47,py-67c6a1e,4510.82
48,py-642e92e,4415.26
49,py-f457c54,1309.41
50,py-c0c7c76,7163.99
51,py-2838023,5228.74
52,py-9a11581,5012.77
53,py-d82c8d1,6341.72
54,py-a684ece,2645.41
55,py-b53b3a3,2684.97
56,py-9f61408,6146.01
57,py-72b32a1,7676.40
58,py-66f041e,9413.47
59,py-093f65e,7786.20
60,py-072b030,2105.32
61,py-7f39f83,7900.51
62,py-44f683a,8951.54
63,py-03afdbd,9380.09
64,py-ea5d2f1,5788.02
65,py-fc490ca,8325.92
66,py-3295c76,3312.54
67,py-735b90b,8175.54
68,py-a3f390d,1679.69
69,py-14bfa6b,1875.40
70,py-7cbbc40,3633.05
71,py-e2c420d,3917.00
72,py-32bb90e,695.08
73,py-d2ddea1,3957.81
74,py-ad61ab1,5158.10
75,py-d09bf41,3015.94
76,py-fbd7939,3551.03
77,py-28dd2c7,7460.63
78,py-35f4a8d,4421.07
79,py-d1fe173,5519.82
